------------------------Lista aleatoria------------
Algoritmo - Tamaño - Tiempo
Multiplicación tradicional,100,29 ms
Multiplicación optimizada,100,30 ms
Multiplicación Strassen,100,596 ms
Selection Sort,100000,22349 ms
Quicksort,100000,26 ms
Mergesort,100000,34 ms
Sort de menor a mayor,100000,60 ms
Sort de mayor a menor,100000,63 ms
Multiplicación tradicional,100,28 ms
Multiplicación optimizada,100,30 ms
Multiplicación Strassen,100,596 ms
Selection Sort,100000,23356 ms
Quicksort,100000,26 ms
Mergesort,100000,33 ms
Sort de menor a mayor,100000,58 ms
Sort de mayor a menor,100000,63 ms
Multiplicación tradicional,100,28 ms
Multiplicación optimizada,100,27 ms
Multiplicación Strassen,100,585 ms
Selection Sort,500000,566147 ms
Quicksort,500000,148 ms
Mergesort,500000,172 ms
Sort de menor a mayor,500000,311 ms
Sort de mayor a menor,500000,347 ms
Multiplicación tradicional,100,30 ms
Multiplicación optimizada,100,32 ms
Multiplicación Strassen,100,600 ms
Selection Sort,500000,564032 ms
Quicksort,500000,148 ms
Mergesort,500000,175 ms
Sort de menor a mayor,500000,313 ms
Sort de mayor a menor,500000,350 ms
Multiplicación tradicional,100,33 ms
Multiplicación optimizada,100,31 ms
Multiplicación Strassen,100,596 ms
------------------------Inversamente ordenada-----------------------
Selection Sort,500000,561710 ms
Quicksort,500000,145 ms
Mergesort,500000,173 ms
Sort de menor a mayor,500000,314 ms
Sort de mayor a menor,500000,347 ms
Multiplicación tradicional,100,30 ms
Multiplicación optimizada,100,33 ms
Multiplicación Strassen,100,597 ms
Selection Sort,10000,219 ms
Quicksort,10000,280 ms
Mergesort,10000,1 ms
Sort de menor a mayor,10000,2 ms
Sort de mayor a menor,10000,3 ms
Selection Sort,10000,232 ms
Quicksort,10000,281 ms
Mergesort,10000,2 ms
Sort de menor a mayor,10000,2 ms
Sort de mayor a menor,10000,3 ms
Selection Sort,10000,226 ms
Quicksort,10000,280 ms
Mergesort,10000,2 ms
Sort de menor a mayor,10000,2 ms
Sort de mayor a menor,10000,4 ms
Selection Sort,100000,23083 ms
Quicksort,100000,27063 ms
Mergesort,100000,30 ms
Sort de menor a mayor,100000,29 ms
Sort de mayor a menor,100000,47 ms
Selection Sort,100000,23119 ms
Quicksort,100000,27151 ms
Mergesort,100000,30 ms
Sort de menor a mayor,100000,32 ms
Sort de mayor a menor,100000,43 ms
Selection Sort,100000,23093 ms
Quicksort,100000,27069 ms
Mergesort,100000,29 ms
Sort de menor a mayor,100000,29 ms
Sort de mayor a menor,100000,44 ms
Selection Sort,500000,773369 ms
Selection Sort,500000,772844 ms
